Nome: ITAJAI
Codigo Estacao: A868
Latitude: -26.95083333
Longitude: -48.76194444
Altitude: 9.76
Situacao: Operante
Data Inicial: 2010-06-23
Data Final: 2023-09-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-02-28;287;1011,556548;24,663988;
2015-03-31;256,4;1013,131183;23,727151;
2015-04-30;103;1015,425417;21,414444;
2015-05-31;200,8;1017,409946;19,129435;
2015-06-30;130,6;1019,543472;16,905694;
2015-07-31;152,6;1017,478898;17,524866;
2015-08-31;49,2;1017,539651;19,736021;
2015-09-30;263,8;1013,880139;19,10375;
2015-10-31;306,6;1015,30914;19,703495;
2015-11-30;165,6;1011,983195;21,603195;
2015-12-31;244,2;1011,274194;24,024328;
2016-01-31;145,8;1011,562634;24,572446;
2016-02-29;182,6;1011,684052;25,338362;
2016-03-31;262,4;1013,971147;23,533889;
2016-04-30;null;null;null;
2016-05-31;null;1018,184333;17,6635;
2016-06-30;66,4;1021,610776;13,350718;
2016-07-31;69,2;1018,684409;15,263172;
2016-08-31;145,4;1017,522312;16,24328;
2016-09-30;91,8;1017,754861;17,827917;
2016-10-31;197,8;1015,084005;19,74664;
2016-11-30;156,4;1013,549167;21,239722;
2016-12-31;301;1011,183737;23,340054;
2017-01-31;162;1011,228495;25,265188;
2017-02-28;179,4;1011,593304;25,510863;
2017-03-31;149,8;1014,008871;23,331989;
2017-04-30;168,8;1015,926111;21,031806;
2017-05-31;245,6;1016,47379;19,532661;
2017-06-30;182;1018,425139;17,313611;
2017-07-31;22,6;1024,112097;16,706048;
2017-08-31;88,2;1018,494758;17,676613;
2017-09-30;95,4;1018,531806;20,517917;
2017-10-31;110,6;1013,044489;20,879032;
2017-11-30;106,8;1011,998889;21,158889;
2017-12-31;158,8;1010,952823;23,377151;
2018-01-31;248,8;1011,013575;24,125134;
2018-02-28;100,2;1012,365625;23,348363;
2018-03-31;261,4;1011,24207;23,793145;
2018-04-30;42,2;1016,419861;22,389722;
2018-05-31;68,6;1017,84328;19,305914;
2018-06-30;65,8;1018,513056;15,874028;
2018-07-31;17,6;1018,397312;16,594355;
2018-08-31;65,4;1019,68414;15,62957;
2018-09-30;123;1015,249444;19,301806;
2018-10-31;138,8;1014,321909;20,1625;
2018-11-30;113;1013,765833;22,016528;
2018-12-31;116,8;1012,115323;23,958468;
2019-01-31;236,4;1012,307527;26,479301;
2019-02-28;255,6;1011,647024;24,024702;
2019-03-31;127,2;1014,285887;23,610753;
2019-04-30;120,4;1013,443333;22,339722;
2019-05-31;179;1014,924731;20,490457;
2019-06-30;69;1018,692083;18,680139;
2019-07-31;69,8;1019,243145;15,54086;
2019-08-31;25,4;1021,612097;16,494624;
2019-09-30;128,8;1017,521944;17,823889;
2019-10-31;101,6;1014,643952;21,166936;
2019-11-30;185;1012,967639;21,91625;
2019-12-31;89,4;1011,960215;23,22043;
2020-01-31;130,2;1010,483065;24,29328;
2020-02-29;239,6;1013,098994;23,602012;
2020-03-31;59;1014,866532;23,095027;
2020-04-30;81,4;1016,219167;20,176667;
2020-05-31;28;1016,338038;17,744758;
2020-06-30;168;1016,894028;18,05375;
2020-07-31;83,8;1018,027151;15,646102;
2020-08-31;107,6;1019,520833;16,497177;
2020-09-30;46,8;1016,893611;19,098889;
2020-10-31;50,8;1014,279525;20,82875;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;1019,028909;17,620545;
2021-09-30;90,2;1016,31303;18,866212;
2021-10-31;119,8;1015,532991;19,099267;
2021-11-30;75,8;1012,51197;21,227121;
2021-12-31;1;1011,667302;22,521994;
2022-01-31;83,2;1010,797507;24,392082;
2022-02-28;47;1011,465584;24,355519;
2022-03-31;184,8;1012,346628;23,359824;
2022-04-30;73;1014,569318;20,71039;
2022-05-31;null;null;null;
2022-06-30;115,8;1017,524028;15,584861;
2022-07-31;19;1017,223118;17,311559;
2022-08-31;158,2;1019,351344;16,287634;
2022-09-30;146,8;1017,804722;16,676111;
2022-10-31;161,6;1014,115457;19,795833;
2022-11-30;219;1015,272083;20,278472;
2022-12-31;574,6;1010,887903;22,879167;
2023-01-31;57;1011,22043;24,189785;
2023-02-28;93,2;1011,04003;24,220685;
2023-03-31;329,8;1013,243683;24,128226;
2023-04-30;174,2;1014,594028;20,529861;
2023-05-31;72,2;1017,610215;19,063038;
2023-06-30;73,8;1018,519702;16,846408;
2023-07-31;92,2;1020,228804;16,506358;
2023-08-31;null;1016,175481;17,819712;
2023-09-30;55;1014,791481;20,039583;

